Rank,Population_Density,Zip,Population
1043,108.7,14141,7684
1044,108.5,14530,5392
1045,108.3,12090,6175
1046,107.3,12859,2368
1047,107.1,14466,1844
1048,107,13634,4879
1049,106.8,12404,3835
1050,106.7,14489,7261
1051,106.3,13114,6761
1052,105.9,13774,317
1053,105.7,14769,964
1054,105,14125,3765
1055,104.8,13074,4467
1056,103.9,13676,16728
1057,103.4,11964,2048
1058,103.3,14532,4235
1059,102.7,14810,12444
1060,102.6,13685,2306
1061,101.9,13112,2200
1062,101.8,13160,2167
1063,101.6,13408,3834
1064,101.3,14028,1423
1065,101.3,12458,3281
1066,101,12040,132
1067,101,14872,650
1068,100.9,12790,4671
1069,100.5,12173,1731
1070,100.3,13607,1810
1071,100,13084,4303
1072,98.5,12975,281
1073,98.4,14469,6500
1074,98.4,12738,650
1075,98.4,12791,646
1076,97.8,12157,4272
1077,97,10110,1
1078,96.9,13776,551
1079,96.9,14471,2628
1080,96.8,12729,2183
1081,96.8,11954,3471
1082,96.7,12485,822
1083,96.6,14416,3606
1084,96.6,13619,10706
1085,96.4,14871,5561
1086,96.3,13407,5280
1087,96.2,13428,1530
1088,96.1,11932,1008
1089,95.4,12068,3006
1090,95.4,14111,3456
1091,95.3,14527,12923
1092,95.2,14423,4828
1093,94.9,12746,1376
1094,94.8,14770,2836
1095,94.7,13861,419
1096,94.6,12412,574
1097,94.2,14036,5119
1098,94.1,13110,2313
1099,94,13077,6673
1100,93.8,14541,4634
1101,93.5,12822,6287
1102,93,14886,7236
1103,92.7,12463,1006
1104,91.9,13425,2348
1105,91.8,13668,3484
1106,91.1,14437,11314
1107,90.8,13304,1600
1108,90.8,12473,1363
1109,90.5,13802,912
1110,90.2,12024,94
1111,90.2,11930,1565
1112,89.8,14476,2229
1113,89.7,14105,4247
1114,89.5,12195,175
1115,89.2,13636,286
1116,89.2,11958,366
1117,89.1,13167,3056
1118,89,14891,4655
1119,89,13477,1802
1120,88.8,11975,359
1121,88.7,12185,2180
1122,88.6,12481,1119
1123,88.6,14864,1107
1124,88.5,12094,2550
1125,88.4,12792,300
1126,88,14030,1767
1127,87.9,13606,3101
1128,87.8,14081,3167
1129,87.7,12501,2710
1130,87.7,12780,2152
1131,87.7,13624,5636
1132,87.6,14517,2989
1133,87.3,12461,2088
